ward_no,ward_name,zone,population,households,avg_generated_tpd,avg_collected_tpd,avg_uncollected_tpd,collection_pct,standing_backlog_t,peak_day_t,fleet_capacity_tpd,capacity_utilisation_pct,autotippers,trips_per_vehicle,nearest_facility,distance_km,alt_facility,alt_distance_km,nearest_zwm,zwm_distance_km,tonne_km_per_day,segregation_pct,status,priority_score,recommended_action
38,Mandi Mohalla,5,10038,2281,13.82,11.14,2.68,80.6,12.25,16.54,11.50,120,5,2,VID,5.9,KES,7.4,ZWM-W,8.8,66,51,critical,82,Add 2 autotippers or an extra daily trip — load exceeds assigned capacity by 20%. Split peak-day loads to KES (7.4 km) to relieve VID; primary haul is 5.9 km. Clear 12.3 t standing backlog with a weekend compactor drive. Segregation at source is 51% — deploy marshals and dry-waste collection centre outreach. High load density (1.38 kg/person/day) indicates commercial/market inflow — meter bulk generators separately.
54,Shanthinagar,6,31423,7142,22.14,19.86,2.28,89.7,10.44,26.33,20.70,107,9,2,KES,4.6,RAY,10,ZWM-N,12.9,91,59,critical,76,Add 1 autotipper or an extra daily trip — load exceeds assigned capacity by 7%. Clear 10.4 t standing backlog with a weekend compactor drive. Segregation at source is 59% — deploy marshals and dry-waste collection centre outreach.
40,Meena Bazar,5,9489,2157,10.97,8.92,2.05,81.3,9.87,13.43,9.20,119,4,2,KES,6.3,VID,7,ZWM-W,9.4,56,46,critical,69,Add 1 autotipper or an extra daily trip — load exceeds assigned capacity by 19%. Split peak-day loads to VID (7.0 km) to relieve KES; primary haul is 6.3 km. Clear 9.9 t standing backlog with a weekend compactor drive. Segregation at source is 46% — deploy marshals and dry-waste collection centre outreach. High load density (1.16 kg/person/day) indicates commercial/market inflow — meter bulk generators separately.
56,Yaraganahalli,7,24411,5548,13.12,11.09,2.04,84.5,10.87,15.89,11.50,114,5,2,RAY,3.7,VID,4.6,ZWM-W,8.5,41,68,critical,65,Add 1 autotipper or an extra daily trip — load exceeds assigned capacity by 14%. Clear 10.9 t standing backlog with a weekend compactor drive.
48,Rajendranagar,6,14540,3305,8.64,6.68,1.97,77.2,7.91,10.86,6.90,125,3,2,KES,3.8,VID,9.5,ZWM-N,10.7,25,57,critical,57,Add 1 autotipper or an extra daily trip — load exceeds assigned capacity by 25%. Clear 7.9 t standing backlog with a weekend compactor drive. Segregation at source is 57% — deploy marshals and dry-waste collection centre outreach.
51,Sathyanagar,6,14290,3248,8.37,6.68,1.69,79.8,8.33,10.54,6.90,121,3,2,KES,6.1,VID,7.9,ZWM-W,11.1,41,62,critical,57,Add 1 autotipper or an extra daily trip — load exceeds assigned capacity by 21%. Primary haul is 6.1 km to KES with no closer alternative — a secondary transfer point would cut round-trip time. Clear 8.3 t standing backlog with a weekend compactor drive.
25,Manchegowdana Koppal,4,21756,4945,11.91,11.03,0.88,92.6,6.34,14.35,11.50,104,5,2,VID,10.5,KES,12,ZWM-N,2.6,116,65,critical,54,Add 1 autotipper or an extra daily trip — load exceeds assigned capacity by 4%. Haul is 10.5 km to VID. Site a transfer station or decentralised ZWM unit — a nearby unit already sits 2.6 km away. Clear 6.3 t standing backlog with a weekend compactor drive.
59,Gowrishankaranagar,7,27029,6143,14.61,13.23,1.38,90.6,7.09,17.66,13.80,106,6,2,RAY,2.7,VID,6,ZWM-W,10,36,68,critical,49,Add 1 autotipper or an extra daily trip — load exceeds assigned capacity by 6%. Clear 7.1 t standing backlog with a weekend compactor drive.
28,Kumbarakoppal,4,18048,4102,9.74,8.83,0.91,90.6,5.69,11.53,9.20,106,4,2,VID,8.9,KES,9.6,ZWM-N,4,79,63,critical,48,Add 1 autotipper or an extra daily trip — load exceeds assigned capacity by 6%. Haul is 8.9 km to VID. Site a transfer station or decentralised ZWM unit — a nearby unit already sits 4.0 km away. Clear 5.7 t standing backlog with a weekend compactor drive.
37,Lashkar Mohalla,5,11608,2638,12.13,11.04,1.09,91.0,4.47,14.63,11.50,105,5,2,VID,6.3,KES,6.9,ZWM-W,9.1,70,57,critical,46,Add 1 autotipper or an extra daily trip — load exceeds assigned capacity by 5%. Split peak-day loads to KES (6.9 km) to relieve VID; primary haul is 6.3 km. Clear 4.5 t standing backlog with a weekend compactor drive. Segregation at source is 57% — deploy marshals and dry-waste collection centre outreach. High load density (1.05 kg/person/day) indicates commercial/market inflow — meter bulk generators separately.
27,"Hebbal, Lokanayakanagar",4,24617,5595,13.38,12.90,0.48,96.4,4.86,15.81,13.80,97,6,2,KES,9.4,VID,11.3,ZWM-N,2.8,121,53,strained,45,Haul is 9.4 km to KES. Site a transfer station or decentralised ZWM unit — a nearby unit already sits 2.8 km away. Clear 4.9 t standing backlog with a weekend compactor drive. Segregation at source is 53% — deploy marshals and dry-waste collection centre outreach.
42,B.B. Keri,5,13767,3129,9.87,8.82,1.04,89.4,4.98,11.96,9.20,107,4,2,KES,6.5,VID,7,ZWM-N,9,57,57,critical,45,Add 1 autotipper or an extra daily trip — load exceeds assigned capacity by 7%. Split peak-day loads to VID (7.0 km) to relieve KES; primary haul is 6.5 km. Clear 5.0 t standing backlog with a weekend compactor drive. Segregation at source is 57% — deploy marshals and dry-waste collection centre outreach.
53,Rajivnagar,6,16774,3812,9.85,8.82,1.03,89.6,5.58,12.39,9.20,107,4,2,KES,6.1,RAY,8.4,ZWM-W,12,54,64,critical,45,Add 1 autotipper or an extra daily trip — load exceeds assigned capacity by 7%. Primary haul is 6.1 km to KES with no closer alternative — a secondary transfer point would cut round-trip time. Clear 5.6 t standing backlog with a weekend compactor drive.
29,Metagalli,4,17558,3990,9.56,8.79,0.77,92.0,4.42,11.81,9.20,104,4,2,KES,7.5,VID,10.1,ZWM-N,4.8,66,66,critical,41,Add 1 autotipper or an extra daily trip — load exceeds assigned capacity by 4%. Haul is 7.5 km to KES. Site a transfer station or decentralised ZWM unit — a nearby unit already sits 4.8 km away. Clear 4.4 t standing backlog with a weekend compactor drive.
