# Mysuru SWM simulator export
# generation_tpd,600
# coverage,100.00%
# diesel_l_per_day,456.4
# cost_per_tonne_inr,936
# efficiency_score,79.7
ward_no,ward,zone,area_km2,population,generation_tpd,density_t_km2,pickups_per_week,collection_points,collected_tpd,standing_tpd,coverage,trips_per_day,fleet_km,diesel_l,haul_km_one_way,destination
1,Jayalakshmipuram,8,1.734,24590,16.14,9.31,7,185,16.14,0.000,100.0,11.88,119.6,12.78,4.39,"Vidyaranyapuram Compost Plant"
2,Vijayanagar 1st Stage,2,1.488,19651,13.91,9.35,7,166,13.91,0.000,100.0,10.24,23.7,2.41,0.58,"Vidyaranyapuram Compost Plant"
3,Vijayanagar 2nd Stage,9,2.480,16309,8.94,3.60,7,141,8.94,0.000,100.0,6.58,77.8,8.21,4.62,"Sewage Farm Landfill (capping site)"
4,Hebbal,3,1.745,14456,8.08,4.63,7,115,8.08,0.000,100.0,5.95,43.0,4.50,2.57,"Kesare Processing Plant"
5,Metagalli,3,1.554,13004,7.78,5.01,7,105,7.78,0.000,100.0,5.73,59.0,6.26,4.25,"Kesare Processing Plant"
6,Bogadi North,6,1.345,17082,12.32,9.16,7,128,12.32,0.000,100.0,9.07,67.6,7.18,3.10,"Vidyaranyapuram Compost Plant"
7,Bogadi South,4,2.460,14779,7.83,3.18,7,110,7.83,0.000,100.0,5.76,50.0,5.21,2.97,"Hootagalli ZWM Unit"
8,Srirampura,1,1.214,11317,6.79,5.59,7,73,6.79,0.000,100.0,5.00,58.3,6.21,4.94,"Kesare Processing Plant"
9,Kuvempunagar East,7,2.548,15739,8.81,3.46,7,120,8.81,0.000,100.0,6.49,61.9,6.42,3.05,"Rayanakere Processing Plant"
10,Kuvempunagar West,2,1.605,22075,15.89,9.90,7,152,15.89,0.000,100.0,11.70,48.9,5.18,1.66,"Vidyaranyapuram Compost Plant"
11,Ramakrishnanagar,6,2.090,16083,9.96,4.77,7,107,9.96,0.000,100.0,7.33,65.8,6.96,3.55,"Vidyaranyapuram Compost Plant"
